city,attractionSite,description,image
أبها,حي البسطة الأثري في أبها,عودة للماضي بالوقوف على أحداث تاريخه، ستعرف قصة حي البسطة ولمَ يُعد وجهة تراثية لا مثيل لها.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/abha-/albasta-district.jpg
أبها,رحلات جبلية في أبها,متعة صعود العقبات بتفاصيل تضاريسها ومواقعها، دليلك  لعيش واحدة من أجمل التجارب في أبها.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/abha-/mountain-trips.jpg
أبها,منتزهات طبيعية في أبها,اكتشف خمسة أماكن مناسبة للتنزه فوق الجبال، تفاصيلها ومواقعها.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/abha-/Abu-Kheyal-Park.jpg
أبها,ممشى الضباب ,ابدأ رحلة حواسك بمعانقة ضباب أبها.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/abha-/the-dabbab-walkway.jpg
أبها,المدينة العالية,المدينة العالية وجهة ممتعة على رادار رحلتك.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/abha-/high-city-in-abha.jpg
أبها,متحف فاطمة لتراث المرأة العسيرية,يمكنك التجول بالمتحف للاطلاع على ثقافة نساء المنطقة، التي لم تنفصل علاقتها بالجبال يومًا عن الفنون فيها.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/abha-/fatima-museum-outdoor.jpg
أبها,السياحة في أبها: مغامرات على متن التلفريك,يقدم تلفريك أبها فرصة فريدة من نوعها لمشاهدة مناظر خلابة تعتبر من الأجمل في المملكة.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/abha-/cable-car-adventure-abha.jpg
أبها,التنزه في أبها,اكتشف كيف ستقضي يوما لا ينسى في أبها، وتعرف على أجمل أماكنها التراثية والعصرية التي صنعتها الطبيعة.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/abha-/dabbab-walkway.jpg
أبها,قرية رجال ألمع في عسير,اكتشف الجمال الكامن في قرية رجال ألمع، تاريخها، موقعها، عمرانها، تراثها الفريد.,https://www.visitsaudi.com/content/dam/articles/rijal-almaa-and-the-flower-men-of-asir/abha-rijal-almaa-hero.jpg
أبها,الحي التاريخي بوسط النماص,مشاهد تفصيلية للحي التاريخي بالنماص، الوجهة الأجمل لمحبي التراث. ,https://www.visitsaudi.com/content/dam/saudi-tourism/media/abha-/tharban-palace.jpg
أبها,حديقة السلام,تعرف على مميزات حديقة السلام في أبها، وضعها من ضمن الزيارات الضرورية لمكان استثنائي!,https://www.visitsaudi.com/content/dam/saudi-tourism/media/abha-/al-salam-park-abha.jpg
أبها,حديقة سد أبها,واحدة من أجمل الحدائق الصديقة لجميع الأعمار، طبيعة خلابة وأجواء حميمية استمتع بها.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/abha-/damside-park-abha.jpg
أبها,متحف الراقدي,يحتوي متحف الراقدي على العديد من الموروثات التراثية العسيرية، ويعرض مقتنيات شعبية من منطقة عسير.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/abha-/alraqdi-museum-abha.jpg
أبها,قصور آل مشيط,قصور آل مشيط التاريخية وجهة أساسية للوقوف على أحد أهم الأماكن الشاهدة على عراقة تاريخ منطقة عسير.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/abha-/mushait-palaces.jpg
أبها,قصور آل أبو سرّاح,قصور تاريخية يصل عمرها إلى نحو قرنين، تعرف على قصور آل أبو سرّاح ومكانتها التاريخية والسياحية بالمنطقة.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/abha-/al-abu-sarrah-palaces.jpg
أبها,حديقة مطار أبها,حديقة تستقبلك على مسافة قريبة من مطار أبها، المكان الأمثل لقضاء وقت عائلي مغمور بالترفيه والمتعة.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/abha-/airport-park.jpg
أبها,متنزه المسقي,منتزه المسقي المتكامل أحد أكثر الأماكن المفضلة لزوار مدينة أبها قاصدي الرحلات الطويلة.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/abha-/al-masqi-park.jpg
أبها,قرية بن حمسان التراثية,قرية بن حمسان التراثية، تحفة معمارية ومعلم تراثي يعكس تاريخ عسير المدهش.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/abha-/bin-hamsan-heritage.jpg
أبها,متنزه واجهة تنومة,تنتظرك دهشة الطبيعة وسحرها في منتزه واجهة تنزمة,https://www.visitsaudi.com/content/dam/saudi-tourism/media/abha-/tanomah-front-abha.jpg
